surahs,ayahs,ayahs-translation
1,1,In the name of Allah the Most Gracious the Most Merciful
1,2,All praise is due to Allah Lord of the worlds
1,3,The Most Gracious the Most Merciful
1,4,Master of the Day of Judgment
1,5,You alone we worship and You alone we ask for help
1,6,Guide us to the straight path
1,7,The path of those whom You have blessed not of those who have earned anger nor of those who go astray
2,1,Alif Lam Meem
2,2,This is the Book about which there is no doubt a guidance for those conscious of Allah
2,3,Who believe in the unseen and establish prayer and spend out of what We have provided for them
